User_ID,Age,Height_cm,Weight_kg,BMI,Running_Speed_kmph
1,56.0,177.0,57.0,28.64,19.79
2,46.0,193.0,56.0,26.55,15.47
3,32.0,193.0,116.0,32.56,13.04
4,25.0,169.0,66.0,29.2,9.64
5,38.0,179.0,82.0,20.77,17.21
6,56.0,160.0,97.0,19.2,15.27
7,36.0,177.0,108.0,28.92,7.44
8,40.0,174.0,71.0,18.45,18.66
9,28.0,188.0,79.0,27.96,17.34
10,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
11,41.0,150.0,100.0,27.78,15.89
12,53.0,176.0,103.0,24.6,14.2
13,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
14,41.0,190.0,76.0,25.79,18.99
15,20.0,152.0,76.0,27.28,17.99
16,39.0,188.0,70.0,34.0,5.68
17,19.0,155.0,79.0,24.56,5.4
18,41.0,157.0,77.0,34.34,10.65
19,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
20,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
21,19.0,186.0,110.0,19.18,7.26
22,38.0,182.0,97.0,19.71,13.91
23,50.0,191.0,68.0,18.31,10.71
24,29.0,193.0,53.0,19.61,19.55
25,39.0,173.0,84.0,29.61,17.63
26,42.0,164.0,113.0,19.21,17.57
27,44.0,181.0,98.0,23.42,12.03
28,59.0,181.0,66.0,32.36,11.22
29,45.0,173.0,93.0,18.4,9.1
30,33.0,190.0,79.0,31.85,5.85
31,32.0,198.0,95.0,22.79,17.97
32,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
33,54.0,161.0,86.0,29.84,20.0
34,24.0,188.0,73.0,28.69,19.95
35,38.0,151.0,95.0,32.92,13.33
36,26.0,152.0,102.0,30.5,16.53
37,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
38,35.0,186.0,112.0,22.79,17.74
39,21.0,198.0,81.0,21.02,8.71
40,42.0,166.0,82.0,30.76,11.76
41,31.0,198.0,116.0,31.72,6.94
42,26.0,151.0,67.0,34.84,19.31
43,43.0,151.0,74.0,25.01,14.09
44,19.0,177.0,103.0,24.32,8.43
45,37.0,172.0,107.0,31.2,15.08
46,45.0,186.0,116.0,23.79,14.27
47,24.0,181.0,95.0,33.82,10.37
48,25.0,182.0,73.0,32.59,6.7
49,52.0,150.0,81.0,25.29,15.07
50,31.0,168.0,96.0,30.76,12.8
51,34.0,151.0,72.0,30.83,16.58
52,53.0,193.0,115.0,19.75,12.8
53,57.0,175.0,76.0,33.34,17.78
54,21.0,181.0,51.0,26.59,13.28
55,19.0,155.0,66.0,32.05,13.41
56,23.0,181.0,82.0,23.44,18.15
57,59.0,153.0,58.0,33.22,11.05
58,21.0,160.0,92.0,24.62,7.01
59,46.0,166.0,97.0,18.18,5.43
60,35.0,187.0,88.0,33.39,16.33
61,43.0,173.0,91.0,19.55,14.3
62,51.0,154.0,75.0,23.43,15.56
63,27.0,183.0,99.0,34.15,8.19
64,53.0,155.0,74.0,34.16,7.05
65,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
66,48.0,160.0,62.0,28.74,10.26
67,32.0,197.0,109.0,25.62,13.85
68,25.0,165.0,56.0,22.98,10.88
69,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
70,40.0,158.0,85.0,29.43,18.56
71,57.0,155.0,94.0,30.79,10.22
72,38.0,165.0,69.0,31.46,12.71
73,33.0,178.0,114.0,31.42,16.75
74,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
75,41.0,169.0,65.0,26.41,14.33
76,43.0,185.0,63.0,18.98,17.94
77,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
78,58.0,175.0,115.0,25.51,7.21
79,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
80,32.0,168.0,112.0,23.97,12.38
81,18.0,169.0,100.0,19.99,8.87
82,42.0,181.0,74.0,20.43,11.89
83,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
84,26.0,190.0,112.0,28.51,12.39
85,41.0,182.0,111.0,19.72,9.93
86,18.0,189.0,71.0,19.43,14.5
87,25.0,188.0,107.0,29.92,8.6
88,41.0,167.0,107.0,19.24,6.14
89,28.0,189.0,98.0,31.97,6.93
90,34.0,150.0,101.0,30.01,6.92
91,25.0,160.0,91.0,19.38,7.28
92,52.0,177.0,119.0,19.44,7.08
93,52.0,174.0,64.0,34.77,14.61
94,50.0,199.0,103.0,24.36,7.73
95,22.0,172.0,109.0,24.3,10.19
96,59.0,180.0,57.0,31.82,18.45
97,56.0,179.0,102.0,34.1,12.11
98,58.0,191.0,109.0,34.76,15.01
99,45.0,184.0,54.0,30.81,7.58
100,24.0,156.0,117.0,24.4,7.88
101,26.0,165.0,55.0,19.42,5.61
102,25.0,175.0,96.0,31.21,7.53
103,29.0,197.0,104.0,27.49,9.18
104,51.0,198.0,89.0,25.21,7.66
105,50.0,151.0,101.0,33.41,6.33
106,40.0,150.0,65.0,19.89,6.81
107,41.0,197.0,62.0,26.37,11.91
108,54.0,161.0,79.0,18.19,8.1
109,52.0,154.0,68.0,25.97,10.46
110,57.0,186.0,66.0,18.96,12.55
111,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
112,44.0,158.0,68.0,20.0,5.59
113,52.0,190.0,107.0,29.04,16.99
114,18.0,184.0,104.0,30.68,14.42
115,52.0,168.0,111.0,27.92,6.23
116,54.0,197.0,72.0,34.36,18.1
117,31.0,165.0,58.0,24.37,18.81
118,20.0,152.0,61.0,22.86,5.92
119,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
120,22.0,173.0,107.0,21.8,17.09
121,43.0,182.0,50.0,34.37,16.22
122,31.0,173.0,83.0,18.21,7.77
123,56.0,160.0,97.0,34.49,8.14
124,44.0,198.0,50.0,18.73,10.56
125,26.0,157.0,65.0,33.15,12.27
126,32.0,185.0,110.0,26.97,14.27
127,32.0,187.0,113.0,34.88,10.53
128,43.0,189.0,112.0,19.25,11.94
129,59.0,169.0,118.0,27.42,16.21
130,30.0,184.0,71.0,34.48,5.55
131,49.0,197.0,116.0,26.89,8.79
132,56.0,174.0,75.0,28.7,15.7
133,49.0,184.0,65.0,29.83,18.43
134,21.0,174.0,100.0,25.73,12.68
135,47.0,178.0,106.0,28.67,12.98
136,54.0,167.0,78.0,27.93,6.61
137,40.0,195.0,118.0,33.32,11.71
138,56.0,167.0,96.0,18.77,12.99
139,32.0,151.0,111.0,22.78,8.64
140,46.0,184.0,118.0,34.16,9.04
141,53.0,165.0,65.0,33.13,10.66
142,38.80740740740741,174.5851851851852,87.15555555555555,26.72177777777778,12.167555555555555
143,49.0,185.0,88.0,28.54,9.83
144,24.0,182.0,82.0,22.72,8.17
145,39.0,153.0,72.0,21.2,9.91
146,45.0,182.0,59.0,25.88,6.8
147,19.0,163.0,118.0,24.01,18.36
148,59.0,170.0,83.0,27.92,13.9
149,23.0,197.0,101.0,19.32,15.19
150,45.0,169.0,59.0,34.56,16.84
